Датум,Цена на последна трансакција,Макс.,Мин.,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.6.2024,"309,00","309,00","309,00","309,00","0,00",297.0,91.773
10.8.2023,"309,00","309,00","309,00","309,00","0,00",1.0,309.0
03.7.2023,"309,00","309,00","309,00","309,00","0,00",1.0,309.0
06.6.2023,"309,00","309,00","309,00","309,00","0,00",923.0,285.207
25.4.2023,"309,00","309,00","309,00","309,00","0,00",2.477,765.393
17.12.2021,"309,00","309,00","309,00","309,00","0,00",100.0,30.9
16.12.2021,"309,00","309,00","309,00","309,00","0,00",1.725,533.025
13.12.2021,"309,00","309,00","309,00","309,00","0,00",1.196,369.564
16.3.2021,"309,00","309,00","309,00","309,00","145,24",1.391,429.819
11.5.2018,"126,00","126,00","126,00","126,00","0,00",1.052,132.552
30.1.2018,"126,00","126,00","126,00","126,00","2,44",1.172,147.672
12.6.2024,"309,00","309,00","309,00","309,00","0,00",297,91.773
